Code,Value,Description,Type
ASM-15,2861.772867,Reconciles scrap allowance across line A,Assembly
ASM-16,1462.02329,Consolidates downtime loss across the north plant,Assembly
ASM-17,130.67814,Balances utilisation index across the north plant,Assembly
ASM-18,2109.8986,Drives overhead pool across the supply chain,Assembly
ASM-19,1882.98126,Aggregates yield factor across the assembly cell,Assembly
ASM-20,1881.133171,Aggregates tooling charge across line B,Assembly
ASM-21,3.7239,Allocates energy draw across the finishing stage,Assembly
ASM-22,2088.540694,Buffers tooling charge across the south plant,Assembly
ASM-23,499.14226,Buffers throughput rate across the supply chain,Assembly
ASM-24,237.169136,Allocates carrier spend across the assembly cell,Assembly
MOD-01,1209.005579,Reconciles capacity share across line B,Module
MOD-02,1868.7345,Tracks material cost across line A,Module
MOD-03,4782.372437,Drives capacity share across the service network,Module
MOD-04,1734.281686,Balances material cost across the supply chain,Module
MOD-05,2373.662281,Supports capacity share across the packing bay,Module
MOD-06,3898.531751,Normalises labour load across the supply chain,Module
MOD-07,3586.793963,Aggregates throughput rate across the service network,Module
MOD-08,4154.606051,Reconciles logistics fee across the supply chain,Module
MOD-09,1160.230686,Buffers quality margin across the south plant,Module
MOD-10,3526.284171,Balances warranty reserve across the supply chain,Module
MOD-11,1428.652153,Regulates logistics fee across the supply chain,Module
MOD-12,-300.060471,Supports carrier spend across line B,Module
MOD-13,4134.893601,Normalises logistics fee across the assembly cell,Module
MOD-14,1105.16427,Consolidates warranty reserve across the service network,Module
PRD-01,445.435349,Aggregates downtime loss across the south plant,Product
PRD-02,4189.960017,Balances labour load across the finishing stage,Product
PRD-03,-440.082347,Allocates downtime loss across the finishing stage,Product
PRD-04,5887.536707,Balances downtime loss across the south plant,Product
PRD-05,4747.024649,Drives quality margin across line A,Product
PRD-06,5895.520436,Supports yield factor across the north plant,Product
PRD-07,10663.161933,Regulates material cost across the assembly cell,Product
KPI-01,1532.53952,Supports utilisation index across the packing bay,Indicator
KPI-02,2461.578448,Drives labour load across the supply chain,Indicator
KPI-03,5535.004826,Normalises quality margin across line B,Indicator
