Code,Operation,BCode,Weight
MOD-01,-,ASM-20,
MOD-01,+,ASM-15,
MOD-02,+,ASM-21,
MOD-02,-,ASM-05,
MOD-03,+,ASM-16,0.54
MOD-03,+,ASM-18,
MOD-03,+,ASM-19,
MOD-04,+,ASM-03,
MOD-04,+,ASM-04,
MOD-05,+,ASM-17,
MOD-05,-,ASM-08,
MOD-05,+,ASM-11,
MOD-06,+,ASM-15,
MOD-06,+,ASM-13,
MOD-06,*,INP-11,
MOD-07,+,ASM-02,
MOD-07,+,ASM-04,
MOD-07,+,ASM-17,
MOD-07,*,INP-02,
MOD-08,+,ASM-20,0.24
MOD-08,+,ASM-15,
MOD-08,*,INP-15,
MOD-09,+,ASM-18,
MOD-09,-,ASM-04,0.69
MOD-09,-,ASM-23,0.38
MOD-10,+,ASM-07,
MOD-10,+,ASM-20,
MOD-11,+,ASM-12,
MOD-11,+,ASM-17,
MOD-11,+,ASM-14,0.36
MOD-12,+,ASM-04,
MOD-12,+,ASM-08,
MOD-12,-,ASM-07,
MOD-13,+,ASM-20,
MOD-13,+,ASM-06,
MOD-13,+,ASM-07,
MOD-14,+,ASM-21,
MOD-14,+,ASM-04,
PRD-01,+,MOD-01,
PRD-01,+,MOD-14,
PRD-01,-,MOD-02,
PRD-02,+,MOD-13,
PRD-02,+,MOD-09,
PRD-02,-,MOD-14,
PRD-03,+,MOD-11,
PRD-03,-,MOD-02,
PRD-04,+,MOD-03,
PRD-04,+,MOD-14,
PRD-05,+,MOD-09,
PRD-05,+,MOD-07,
PRD-06,+,MOD-01,
PRD-06,+,MOD-10,
PRD-06,+,MOD-09,
PRD-07,+,MOD-08,
PRD-07,+,MOD-13,
PRD-07,+,MOD-05,
KPI-01,+,PRD-05,0.29
KPI-01,+,PRD-01,0.35
KPI-02,+,PRD-02,0.18
KPI-02,+,PRD-04,0.29
KPI-03,+,PRD-04,0.27
KPI-03,+,PRD-07,0.37
